"Timestamp","Function","Services","Status","RAMFreed_MB","RebootRequired"
"2026-01-23 20:59:44","hiber-Light","DiagTrack, dmwappushservice, WerSvc, DusmSvc, gupdate, gupdatem, bdvpnService, EpsonScanSvc, OneSyncSvc, MapsBroker, CDPSvc","Completado","-51,19","False"
"2026-01-23 21:01:03","hiber-Terceros","LenovoVantageService, AdobeARMservice, BraveElevationService","Completado","-15,71","False"
"2026-01-24 08:53:35","hiber-Light","DiagTrack, dmwappushservice, WerSvc, DusmSvc, gupdate, gupdatem, bdvpnService, EpsonScanSvc, OneSyncSvc, MapsBroker, CDPSvc","Completado","-137,71","False"
"2026-01-24 08:53:37","hiber-Terceros","LenovoVantageService, AdobeARMservice, BraveElevationService","Completado","-12,71","False"
"2026-01-24 09:58:50","hiber-DeepWork","WSearch, Spooler, SysMain, Themes, WbioSrvc, Stisvc","Completado","33,55","False"
"2026-01-24 18:45:19","hiber-Light","DiagTrack, dmwappushservice, WerSvc, DusmSvc, gupdate, gupdatem, bdvpnService, EpsonScanSvc, OneSyncSvc, MapsBroker, CDPSvc","Completado","19,59","False"
"2026-01-24 18:45:21","hiber-Terceros","LenovoVantageService, AdobeARMservice, BraveElevationService","Completado","0,71","False"
"2026-01-25 00:32:03","reverter-hibernacion [All]","dmwappushservice, AdobeARMservice, bdvpnService, MapsBroker, BraveElevationService, CDPSvc, DusmSvc, OneSyncSvc, WerSvc, DiagTrack, gupdate, LenovoVantageService, EpsonScanSvc, gupdatem","Revertido","N/A","False"
"2026-01-25 11:16:11","hiber-Light","DiagTrack, dmwappushservice, WerSvc, DusmSvc, gupdate, gupdatem, bdvpnService, EpsonScanSvc, OneSyncSvc, MapsBroker, CDPSvc","Completado","-7,16","False"
"2026-01-25 11:16:13","hiber-Terceros","LenovoVantageService, AdobeARMservice, BraveElevationService","Completado","0,18","False"
"2026-01-25 13:31:53","hiber-Light","DiagTrack, dmwappushservice, WerSvc, DusmSvc, gupdate, gupdatem, bdvpnService, EpsonScanSvc, OneSyncSvc, MapsBroker, CDPSvc","Completado","-12,17","False"
"2026-01-25 13:31:54","hiber-Terceros","LenovoVantageService, AdobeARMservice, BraveElevationService","Completado","-0,08","False"
"2026-01-25 13:31:56","hiber-DeepWork","WSearch, Spooler, SysMain, Themes, WbioSrvc, Stisvc","Completado","0,58","False"
"2026-01-26 01:31:32","reverter-hibernacion [All]","WbioSrvc, bdvpnService, EpsonScanSvc, OneSyncSvc, Themes, MapsBroker, DusmSvc, gupdatem, DiagTrack, LenovoVantageService, gupdate, Stisvc, CDPSvc, AdobeARMservice, Spooler, SysMain, WerSvc, BraveElevationService, WSearch, dmwappushservice","Revertido","N/A","False"
"2026-01-26 08:36:17","hiber-Light","DiagTrack, dmwappushservice, WerSvc, DusmSvc, gupdate, gupdatem, bdvpnService, EpsonScanSvc, OneSyncSvc, MapsBroker, CDPSvc","Completado","0,3","False"
"2026-01-26 08:36:18","hiber-Terceros","LenovoVantageService, AdobeARMservice, BraveElevationService","Completado","1,2","False"
"2026-01-27 13:02:46","reverter-hibernacion [All]","","Revertido","N/A","False"
"2026-01-28 13:10:32","hiber-Light","DiagTrack, dmwappushservice, WerSvc, DusmSvc, gupdate, gupdatem, bdvpnService, EpsonScanSvc, OneSyncSvc, MapsBroker, CDPSvc","Completado","-10,78","False"
"2026-01-28 13:10:35","hiber-Terceros","LenovoVantageService, AdobeARMservice, BraveElevationService","Completado","-6,25","False"
"2026-01-28 14:04:03","reverter-hibernacion [All]","","Revertido","N/A","False"
"2026-01-28 21:54:56","reverter-hibernacion [All]","","Revertido","N/A","False"
"2026-01-28 21:55:09","reverter-hibernacion [All]","","Revertido","N/A","False"
"2026-01-30 11:01:31","hiber-Light","DiagTrack, dmwappushservice, WerSvc, DusmSvc, gupdate, gupdatem, bdvpnService, EpsonScanSvc, OneSyncSvc, MapsBroker, CDPSvc","Completado","-8,75","False"
